Rank;Name;TotalNetWorth;LastChange;YTDChange;Country;Industry;Address;City;ZipCode;State;Social security number;UniqueID
1;Jeff Bezos;$188B;+$1.68B;-$2.31B ;United States;Technology;312 University Street;Redmond;98052;California;1947398318993;v6492635i
2;Elon Musk;$170B;-$2.89B;+$773M ;United States;Technology;689 Blane Street;Saint Louis;63146;Alabama;2003462168756;d8598818i
3;Bernard Arnault;$155B;+$892M;+$40.9B ;France;Consumer;45 rue de Lille;AsniÈres-sur-seine;92600;Île-de-France;1945693101116;k4660451e
4;Bill Gates;$144B;-$1.32B;+$12.2B ;United States;Technology;4232 Gnatty Creek Road;Huntington;11743;Illinois;2002454333455;k9035600c
5;Mark Zuckerberg;$114B;+$203M;+$10.9B ;United States;Technology;4471 Bailey Drive;Iowa City;52240;New Jersey;1949267600028;i5057001a
6;Warren Buffett;$108B;-$2.32B;+$20.6B ;United States;Diversified;2196 Sand Fork Road;South Bend;46625;Mississippi;2009528585452;z6173962s
7;Larry Page;$104B;-$1.12B;+$21.6B ;United States;Technology;878 Long Street;Ocala;34471;New York;2006620249840;o7375867t
8;Sergey Brin;$101B;-$1.06B;+$20.8B ;United States;Technology;4226 Lauren Drive;Fitchburg;53719;Missouri;1986921530659;j1340515e
9;Larry Ellison;$90.6B;-$2.46B;+$10.9B ;United States;Technology;4502 Mill Street;Townville;29689;Washington DC;1986793797759;a1279653j
10;Steve Ballmer;$89.1B;-$342M;+$8.71B ;United States;Technology;3461 Hillview Drive;Napa;94559;Minnesota;1972487143583;u6929414s
11;Francoise Bettencourt Meyers;$83.9B;-$1.33B;+$8.11B ;France;Consumer;84 rue des Soeurs;La Celle-saint-cloud;78170;Île-de-France;1964471857119;l2309676v
12;Amancio Ortega;$79.3B;-$1.07B;+$12.8B ;Spain ;Retail;Cartagena 51;Ceutí;30562;Murcia;1960049449668;k5956965p
13;Mukesh Ambani;$74.1B;+$402M;-$2.61B ;India;Energy;375, R-375, Midc Ind Area, Thane Belapur Rd, Ghansoli, Rabale, Navi Mumbai;Mumbai;400701;Maharashtra;1997276962842;f4192431n
14;Charles Koch;$64.3B;-$195M;+$7.42B ;United States;Industrial;3418 Hiddenview Drive;New York;10031;North Carolina;1968431817478;n5191223j
15;Julia Flesher Koch & Family;$64.3B;-$195M;+$7.42B ;United States;Industrial;822 Hemlock Lane;Harlingen;78550;Nebraska;2008767077199;h5086713d
16;Zhong Shanshan;$63.8B;-$289M;-$14.4B ;China;Diversified;Dong Fang Lu 8hao 11g;City Area - Pudongxin District;;Shanghai;1949619641968;n5067354e
